Unnamed: 0,acc.date,type,reg,operator,fat,location,dmg
750,2019-05-03,Douglas C-47A-25-DK (DC-3C),c-gjkm,Buffalo Airways,0.0,"6,5 km SE of Hay River Airport, NT (YHY)",sub
751,2019-05-03,Boeing 737-81Q (WL),n732ma,Miami Air International,0.0,"Jacksonville Naval Air Station, FL (NIP)",sub
752,2019-05-04,Antonov An-2R,ra-01443,Voskhod LLC,0.0,"Vyun, Tomponsky region",sub
753,2019-05-04,Learjet 45,c-gmcp,Skyservice Business Aviation,0.0,Edinburgh-Turnhouse Airport (EDI/EGPH),unk
754,2019-05-05,Canadair CL-600-2B16 Challenger 601-3A,n601vh,Compañia de Aviación y Logística Empresarial,13.0,257 km NW of Monclova,w/o
755,2019-05-05,Sukhoi Superjet 100-95B,ra-89098,Aeroflot Russian International Airlines,41.0,Moskva-Sheremetyevo Airport (SVO),w/o
756,2019-05-07,Antonov An-2R,yv2354,private,0.0,13 km from Uriman Airport (URM),w/o
757,2019-05-07,de Havilland Canada DHC-6 Twin Otter 300,c-gndo,Air Inuit,0.0,"57 km NNE of Kuujjuarapik Airport, QC (YGW)",sub
758,2019-05-08,de Havilland Canada DHC-8-402Q Dash 8,s2-agq,Biman Bangladesh Airlines,0.0,Yangon-Mingaladon Airport (RGN/VYYY),w/o
759,2019-05-10,de Havilland Canada DHC-8-311 Dash 8,c-fjxz,"Air Canada Express, opb Jazz Aviation",0.0,"Toronto–Lester B. Pearson International Airport, Ontario (YYZ)",sub
760,2019-05-11,Cessna 208B Supervan 900,c-fcpm,Parachutisme Nouvel Air,0.0,"Saint-Esprit Aerodrome, QC",sub
761,2019-05-12,Embraer ERJ-190LR,xy-agq,Myanmar National Airlines,0.0,Mandalay International Airport (MDL),min
762,2019-05-13,Boeing 737-9B5,hl7726,Korean Air,0.0,30NM W of Incheon International Airport,non
763,2019-05-13,de Havilland Canada DHC-3T Vazar Turbine Otter,n959pa,Taquan Air,6.0,"15 km NE of Ketchikan, AK",sub
764,2019-05-18,Gulfstream American G-1159 Gulfstream II SP,unreg.,private,0.0,"Chico de Chamorro, Retalhuleu",w/o
765,2019-05-22,Cessna S550 Citation S/II,n311g,private,2.0,"near Indianapolis Regional Airport, IN (KMQJ)",w/o
766,2019-05-22,Antonov An-2R,ra-68161,private,0.0,Zhuravskoye,w/o
767,2019-05-24,Cessna 560 Citation Encore,n832r,Jet Sales LLC,1.0,"500 km E off Fort Lauderdale, Florida, USA",w/o
768,2019-05-25,Boeing 737-8H4 (WL),n8697c,Southwest Airlines,0.0,"Waycross, Georgia",non
769,2019-05-25,Airbus A320-214 (WL),pk-lzj,Batik Air,0.0,Makassar-Sultan Hasanuddin International Airport (WAAA),non
770,2019-05-28,Airbus A320-232,n507jt,Jetblue Airways,0.0,"Fort Lauderdale, Florida",non
771,2019-05-29,Antonov An-124-100,5a-dkn,Libyan Air Cargo,0.0,Tripoli International Airport (TIP),w/o
772,2019-06-03,Antonov An-32,k2752,Indian Air Force - IAF,13.0,16 km N of Lipo,w/o
773,2019-06-07,Antonov An-2T,ur-kau,TSO Ukrayiny,0.0,"Svyatoshyns'kyi District, Kiev",sub
774,2019-06-09,Boeing 737-924ER (WL),n75436,United Airlines,0.0,"Denver International Airport, CO (DEN/KDEN)",sub
775,2019-06-09,Antonov An-2R,ra-81519,Feniks,0.0,"50 km NE of Kyren, Tunkinsky District",sub
776,2019-06-11,CASA C-212 Aviocar 200,n603ar,EP Aviation,0.0,Kiunga Airport (KIU),sub
777,2019-06-13,Beechcraft B200 Super King Air,unknown,Unknown,0.0,"Río Chixoy, La Máquina",w/o
778,2019-06-15,ATR 42-320,pr-mpn,MAP Linhas Aéreas,0.0,"Manaus-Eduardo Gomes International Airport, AM (MAO)",sub
779,2019-06-15,Boeing 757-224 (WL),n26123,United Airlines,0.0,"Newark-Liberty International Airport, NJ (EWR)",sub
780,2019-06-17,Boeing 737-8H4 (WL),n8608n,Southwest Airlines,0.0,"Pittsburgh-Greater Pittsburgh International Airport, PA (PIT)",sub
781,2019-06-17,Cessna 680 Citation Sovereign,lv-ciq,Banco Macro,0.0,"Joaquín V. González-Agropecuaria Río Juramento Airstrip, SA",sub
782,2019-06-18,Airbus A330-243,b-lha,Hong Kong Airlines,0.0,"Nansha District, Guangzhou, Guangdong Province",non
783,2019-06-20,Antonov An-2R,up-a0116,Navigator,1.0,"10 km from Rodina village, Tselinograd district",w/o
784,2019-06-21,Basler BT-67 Turbo 67 (DC-3T),c-fkgl,North Star Air,0.0,"off Fort Hope Airport, ON (YFH)",sub
785,2019-06-23,Antonov An-2R,ur-43983,Phoenix Air LLC,0.0,"near Mlyny, Poltava region",w/o
786,2019-06-24,Hawker Siddeley HS-125-400,unknown,Unknown,0.0,"Parque Nacional Laguna del Tigre, Petén",w/o
787,2019-06-26,Rockwell Sabreliner 65,n65hh,Yankee Dawdle LLC,0.0,"Sacramento-McClellan Airfield, CA (MCC)",min
788,2019-06-27,Cessna 560 Citation V,n318rw,Mueller Aero Inc,0.0,"Janesville, Wisconsin",min
789,2019-06-27,British Aerospace 3212 Jetstream 31,yv2536,Transmandu,0.0,Canaima Airport (CAJ),w/o
790,2019-06-27,Antonov An-24RV,ra-47366,Angara Airlines,2.0,Nizhneangarsk Airport (UIUN),w/o
791,2019-06-28,Saab 340A,c6-vip,Western Air,0.0,Nassau-Lynden Pindling International Airport (NAS),sub
792,2019-06-29,Cessna 208B Supervan 900,n80jf,ISR Aviation LLC,0.0,"Plant City-Blackwater Creek Ultralight Flightpark, FL",sub
793,2019-06-30,Dassault Falcon 900B,n908ca,Warren Transportation LLC,0.0,"Dallas-Addison Airport, TX (ADS/KADS)",w/o
794,2019-06-30,Antonov An-2T,rf-00105,"DOSAAF, Gvardeysky ATSK",0.0,near Gvardeysky,sub
795,2019-06-30,Beechcraft B300 King Air 350i,n534ff,EE Operations LLC,10.0,"Dallas-Addison Airport, TX (ADS/KADS)",w/o
796,2019-07-01,Boeing 737-85R,vt-syk,SpiceJet,0.0,Mumbai-Chhatrapati Shivaji International Airport (BOM),sub
